일시,평균,최고,최저
2017-01-01,4.1,15.1,-7.7
2017-02-01,5.5,17.7,-5.7
2017-03-01,9,18.1,-2.3
2017-04-01,15,23.2,5
2017-05-01,19,28.2,12.8
2017-06-01,21.3,30.4,15.4
2017-07-01,26.1,32.7,21.2
2017-08-01,27,36.2,18.7
2017-09-01,22.6,29.7,14.5
2017-10-01,18.1,28.7,7.3
2017-11-01,11.2,23.6,-1
2017-12-01,3.6,14.5,-6.1
2018-01-01,1.9,14,-9.9
2018-02-01,3.9,14.7,-9.6
2018-03-01,10,22.3,-0.7
2018-04-01,14.5,24.3,3
2018-05-01,17.8,26.6,9.8
2018-06-01,21.5,31.3,15.1
2018-07-01,26.7,35.4,17.8
2018-08-01,27.9,36.4,21.2
2018-09-01,21.9,30,14.9
2018-10-01,16.4,25.6,7.9
2018-11-01,12.4,22.5,2.7
2018-12-01,5.7,18.8,-7.1
2019-01-01,4.5,13.7,-4.4
2019-02-01,6.6,16.5,-4.2
2019-03-01,10.5,21,0.5
2019-04-01,13.4,23.4,2.1
2019-05-01,19.3,30.1,11
2019-06-01,21.1,29.7,15.5
