지점,일시,평균기온(°C)
159,2019-06-01,19.8
159,2019-06-02,20.9
159,2019-06-03,21.3
159,2019-06-04,23.4
159,2019-06-05,23.9
159,2019-06-06,22.1
159,2019-06-07,18.7
159,2019-06-08,19.1
159,2019-06-09,18.5
159,2019-06-10,18.8
159,2019-06-11,18.5
159,2019-06-12,19.1
159,2019-06-13,19.6
159,2019-06-14,19.6
159,2019-06-15,20.6
159,2019-06-16,20.1
159,2019-06-17,20.8
159,2019-06-18,21.7
159,2019-06-19,23.4
159,2019-06-20,24.3
159,2019-06-21,23.3
159,2019-06-22,21.3
159,2019-06-23,20.9
159,2019-06-24,20.9
159,2019-06-25,21.9
159,2019-06-26,20.9
159,2019-06-27,22.4
159,2019-06-28,22.2
159,2019-06-29,21.4
159,2019-06-30,23.3
