지점,일시,월합강수량(00~24h만)(mm)
152,2000-01,24
152,2000-02,.1
152,2000-03,58.5
152,2000-04,62.5
152,2000-05,49.2
152,2000-06,78.4
152,2000-07,165.4
152,2000-08,262.1
152,2000-09,217
152,2000-10,41.4
152,2000-11,67.5
152,2000-12,1
152,2001-01,59.4
152,2001-02,56.2
152,2001-03,9.4
152,2001-04,28
152,2001-05,55.9
152,2001-06,203.3
152,2001-07,121.6
152,2001-08,87.4
152,2001-09,94.5
152,2001-10,98.3
152,2001-11,13.2
152,2001-12,41.9
152,2002-01,49.6
152,2002-02,7.2
152,2002-03,86.5
152,2002-04,91.1
152,2002-05,112.9
152,2002-06,52.6
152,2002-07,326.6
152,2002-08,592.5
152,2002-09,99.9
152,2002-10,89.9
152,2002-11,3.5
152,2002-12,47.5
152,2003-01,26.7
152,2003-02,50.6
152,2003-03,40.4
152,2003-04,156.6
152,2003-05,352.8
152,2003-06,269
152,2003-07,469.8
152,2003-08,223.1
152,2003-09,145.2
152,2003-10,4.5
152,2003-11,114.5
152,2003-12,11
152,2004-01,10.7
152,2004-02,51.1
152,2004-03,20.5
152,2004-04,124.5
152,2004-05,104
152,2004-06,201.8
152,2004-07,102
152,2004-08,264.9
152,2004-09,273.6
152,2004-10,6.7
152,2004-11,64.7
152,2004-12,25.6
152,2005-01,36.5
152,2005-02,34.4
152,2005-03,102.9
152,2005-04,48.1
152,2005-05,52.6
152,2005-06,72.5
152,2005-07,148.1
152,2005-08,210.6
152,2005-09,392.2
152,2005-10,12.2
152,2005-11,24.5
152,2005-12,1.1
152,2006-01,27.2
152,2006-02,33.3
152,2006-03,21
152,2006-04,135.1
152,2006-05,207.1
152,2006-06,100.7
152,2006-07,543.2
152,2006-08,131.7
152,2006-09,150
152,2006-10,21
152,2006-11,16.1
152,2006-12,7.5
152,2007-01,3
152,2007-02,49.3
152,2007-03,82.1
152,2007-04,30.5
152,2007-05,84.4
152,2007-06,118
152,2007-07,216.3
152,2007-08,171.4
152,2007-09,228.5
152,2007-10,110.7
152,2007-11,2
152,2007-12,39.6
152,2008-01,73.5
152,2008-02,10
152,2008-03,47.9
152,2008-04,78.2
152,2008-05,121.6
152,2008-06,171.5
152,2008-07,218.2
152,2008-08,305.4
152,2008-09,49.4
152,2008-10,9.4
152,2008-11,16.7
152,2008-12,10.5
152,2009-01,14.7
152,2009-02,48.6
152,2009-03,35
152,2009-04,62.9
152,2009-05,92.3
152,2009-06,228.7
152,2009-07,450.7
152,2009-08,43
152,2009-09,50.4
152,2009-10,54.5
152,2009-11,36.3
152,2009-12,16.1
152,2010-01,17
152,2010-02,108
152,2010-03,98.9
152,2010-04,112.8
152,2010-05,137.3
152,2010-06,40.1
152,2010-07,266.8
152,2010-08,114.5
152,2010-09,182
152,2010-10,38.5
152,2010-11,15.5
152,2010-12,30.2
152,2011-01,10.5
152,2011-02,76.1
152,2011-03,18.5
152,2011-04,83.6
152,2011-05,114.8
152,2011-06,293.5
152,2011-07,284.8
152,2011-08,71
152,2011-09,96.5
152,2011-10,71
152,2011-11,93.9
152,2011-12,19
152,2012-01,74.2
152,2012-02,12
152,2012-03,103.2
152,2012-04,150.5
152,2012-05,38.1
152,2012-06,76.4
152,2012-07,221
152,2012-08,220.4
152,2012-09,392.6
152,2012-10,40.6
152,2012-11,65.9
152,2012-12,63.2
152,2013-01,22
152,2013-02,26.4
152,2013-03,78
152,2013-04,86.5
152,2013-05,155.1
152,2013-06,79.9
152,2013-07,130.1
152,2013-08,47.7
152,2013-09,49.6
152,2013-10,129.9
152,2013-11,40.9
152,2013-12,12.2
152,2014-01,8.6
152,2014-02,98.5
152,2014-03,122.4
152,2014-04,91.2
152,2014-05,45.7
152,2014-06,73.6
152,2014-07,96.9
152,2014-08,577.5
152,2014-09,113.2
152,2014-10,120.3
152,2014-11,44.3
152,2014-12,6.5
152,2015-01,26.3
152,2015-02,20.4
152,2015-03,51.7
152,2015-04,122.9
152,2015-05,98.3
152,2015-06,77
152,2015-07,176.3
152,2015-08,120.2
152,2015-09,160.6
152,2015-10,39.8
152,2015-11,103.5
152,2015-12,47.6
152,2016-01,50.6
152,2016-02,32.4
152,2016-03,92.2
152,2016-04,179.2
152,2016-05,86.1
152,2016-06,70.1
152,2016-07,226.9
152,2016-08,98.2
152,2016-09,364.3
152,2016-10,358.7
152,2016-11,47.1
152,2016-12,88.1
152,2017-01,15.3
152,2017-02,23.6
152,2017-03,27.6
152,2017-04,111.9
152,2017-05,26.3
152,2017-06,38.5
152,2017-07,104.6
152,2017-08,69.8
152,2017-09,178
152,2017-10,63.1
152,2017-11,0
152,2017-12,12.7
152,2018-01,31.3
