지점,일시,평균상대습도(%)
부산,2016-01-01,49
부산,2016-02-01,48
부산,2016-03-01,61
부산,2016-04-01,66
부산,2016-05-01,64
부산,2016-06-01,80
부산,2016-07-01,85
부산,2016-08-01,72
부산,2016-09-01,80
부산,2016-10-01,73
부산,2016-11-01,61
부산,2016-12-01,54
부산,2017-01-01,46
부산,2017-02-01,45
부산,2017-03-01,53
부산,2017-04-01,64
부산,2017-05-01,63
부산,2017-06-01,70
부산,2017-07-01,82
부산,2017-08-01,74
부산,2017-09-01,69
부산,2017-10-01,68
부산,2017-11-01,49
부산,2017-12-01,40
부산,2018-01-01,45
부산,2018-02-01,42
부산,2018-03-01,63
부산,2018-04-01,63
부산,2018-05-01,73
부산,2018-06-01,75
부산,2018-07-01,78
