지점,일시,최대순간풍속(m/s)
155,2010년 07월 01일,12.1
155,2010년 08월 01일,20.1
155,2010년 09월 01일,16.7
155,2010년 10월 01일,12.1
155,2010년 11월 01일,16
155,2010년 12월 01일,15.1
155,2011년 01월 01일,13.3
155,2011년 02월 01일,13.5
155,2011년 03월 01일,12.7
155,2011년 04월 01일,15.4
155,2011년 05월 01일,13.5
155,2011년 06월 01일,16.6
155,2011년 07월 01일,14.7
155,2011년 08월 01일,16.9
155,2011년 09월 01일,11.4
155,2011년 10월 01일,11.7
155,2011년 11월 01일,11.8
155,2011년 12월 01일,13.7
155,2012년 01월 01일,12.8
155,2012년 02월 01일,11.5
155,2012년 03월 01일,16.4
155,2012년 04월 01일,22.3
155,2012년 05월 01일,10.6
155,2012년 06월 01일,10.2
155,2012년 07월 01일,16
155,2012년 08월 01일,23.2
155,2012년 09월 01일,24.1
155,2012년 10월 01일,12.4
155,2012년 11월 01일,12.5
155,2012년 12월 01일,13.1
155,2013년 01월 01일,12.7
155,2013년 02월 01일,11.5
155,2013년 03월 01일,15.2
155,2013년 04월 01일,12.9
155,2013년 05월 01일,12.4
155,2013년 06월 01일,9.6
155,2013년 07월 01일,12.4
155,2013년 08월 01일,11.9
155,2013년 09월 01일,10.8
155,2013년 10월 01일,13
155,2013년 11월 01일,13.6
155,2013년 12월 01일,12.4
155,2014년 01월 01일,10.9
155,2014년 02월 01일,11.3
155,2014년 03월 01일,8.4
155,2014년 04월 01일,8.2
155,2014년 05월 01일,7
155,2014년 06월 01일,6.1
155,2014년 07월 01일,10.2
155,2014년 08월 01일,24.6
155,2014년 09월 01일,11
155,2014년 10월 01일,11.1
155,2014년 11월 01일,12.6
155,2014년 12월 01일,14.6
155,2015년 01월 01일,16.1
155,2015년 02월 01일,14
155,2015년 03월 01일,15.1
155,2015년 04월 01일,19
155,2015년 05월 01일,10.5
155,2015년 06월 01일,9.7
155,2015년 07월 01일,17.9
155,2015년 08월 01일,11.2
155,2015년 09월 01일,10.3
155,2015년 10월 01일,12.1
155,2015년 11월 01일,10.8
155,2015년 12월 01일,12.7
155,2016년 01월 01일,17.1
155,2016년 02월 01일,13.1
155,2016년 03월 01일,16.9
155,2016년 04월 01일,20.2
155,2016년 05월 01일,16.4
155,2016년 06월 01일,8.9
155,2016년 07월 01일,13.3
155,2016년 08월 01일,12.5
155,2016년 09월 01일,9.8
155,2016년 10월 01일,23.8
155,2016년 11월 01일,13.6
155,2016년 12월 01일,18.7
155,2017년 01월 01일,14.4
155,2017년 02월 01일,12.8
155,2017년 03월 01일,11.6
155,2017년 04월 01일,17
155,2017년 05월 01일,10.7
155,2017년 06월 01일,11.2
155,2017년 07월 01일,12.3
155,2017년 08월 01일,10.6
155,2017년 09월 01일,11.9
155,2017년 10월 01일,16.7
155,2017년 11월 01일,13.7
155,2017년 12월 01일,15.9
155,2018년 01월 01일,12.2
155,2018년 02월 01일,12.4
155,2018년 03월 01일,17.1
155,2018년 04월 01일,13.4
155,2018년 05월 01일,11.7
155,2018년 06월 01일,10.7
155,2018년 07월 01일,10.5
155,2018년 08월 01일,17.4
155,2018년 09월 01일,10.4
155,2018년 10월 01일,23.5
155,2018년 11월 01일,14.8
155,2018년 12월 01일,12.5
155,2019년 01월 01일,11.4
155,2019년 02월 01일,13.4
155,2019년 03월 01일,14.4
155,2019년 04월 01일,11.5
155,2019년 05월 01일,15.7
155,2019년 06월 01일,9.5
155,2019년 07월 01일,20.7
